24.6	18.8	1.1	639.3	-99
23	20.1	1.1	639.1	-99
23.9	18.8	4	638.9	315
22	20.3	2.3	638.6	315
22.8	19	3.4	638.2	315
21.7	19.9	3.1	638.1	315
21.4	20.1	1.9	638.3	315
23.2	17.6	2.1	638.3	90
22.7	18.8	4.2	637.6	270
23.4	18.4	5.9	637.4	315
23.5	17.3	4.1	638.2	315
24.3	17.2	3.1	637.2	315
23.9	18.4	2.8	637.2	270
24.2	18.1	3.6	636.6	90
25.4	17.6	4.2	636.5	135
26.8	16.8	6.4	636.7	135
27.9	16.1	6.5	636.5	90
28.8	15.6	7.1	636.4	90
29.5	15.7	6.5	636.7	90
31.2	15	6.7	636.9	90
32.5	14.5	4.7	637.4	135
33.6	13.5	5.1	638	90
36.4	12.3	4.9	639	90
40.2	11.4	7	639.3	90
43.8	10.7	5.2	639.5	90
45.3	10.4	3.4	639.7	90
48.3	9.9	3.2	639.8	90
51.3	9.5	3.3	640	90
52	9.2	1.8	640.2	90
53.3	9.2	2.2	640.4	45
54.5	9.2	2.7	640.5	90
55.4	8.9	2.4	640.5	90
56.4	8.7	1.8	640.6	135
57.8	8.2	0.3	640.8	-99
58.9	7	2.3	641.1	270
62	5.8	0.2	641.2	-99
62.6	5.8	0.6	641	-99
61.9	6	0.8	641.1	135
62.3	5.3	0.3	641.2	-99
63.9	4.9	0.1	641.2	-99
64.5	5.1	0.1	641.2	-99
64.8	5	0.1	641.2	-99
64.7	5.3	0.1	641.2	-99
64.9	5.1	0.3	641.1	-99
64.8	5.3	1.6	641	135
65.7	5.3	0.8	641	90
68.8	5.2	0.3	641.2	-99
69.8	5	0.9	641.2	90
69.6	4.9	0.4	641.2	-99
71.4	3.2	0.1	641.1	-99
75.6	2.9	0.2	641.1	-99
78.7	3.5	1	641	-99
79	4.2	2	640.9	90
81.7	4.3	1.7	640.8	135
80	3.3	0.6	640.9	-99
83.2	2	1	640.8	180
82.3	2.4	0.1	640.7	-99
80.7	2.3	0.2	640.7	-99
82.3	1.7	0	640.6	-99
80.9	2	0.1	640.4	-99
80.2	2	0.1	640.4	-99
79.8	1.8	0.1	640.4	-99
80.2	1.6	0.1	640.4	-99
80.8	1.4	0.1	640.5	-99
81	1.5	0.1	640.5	-99
79.8	1.6	0.1	640.5	-99
79.7	1.2	0.1	640.5	-99
80.2	1.1	0.1	640.6	-99
81.1	0.7	0.1	640.6	-99
81.4	0.6	0.1	640.7	-99
80.4	0.8	0.1	640.8	-99
79.7	0.7	0	640.9	-99
79.8	0.6	0.1	641	-99
78.9	0.7	0.4	641	90
79.3	0.4	0.1	641.1	-99
78.4	0.6	0.1	640.8	-99
76.2	1.5	0	640.6	-99
72.8	3.3	0.1	640.6	-99
66.5	5.8	0.2	640.7	-99
63	6.8	0.1	640.8	-99
61.5	7.2	0.2	640.8	-99
58.3	8.2	0.1	641	-99
54.7	9.4	0.2	641.1	-99
49.7	10.7	0.2	641.1	-99
47.3	11.7	0.6	641.2	-99
44.9	12.4	0.9	641.2	270
42.5	13.1	1	641.3	270
39.2	13.9	1.6	641.3	270
37.8	14.2	1.8	641.2	315
36	15.2	1.1	641.2	-99
35.5	15.4	1	641.2	-99
33.8	15.8	0.7	641.2	-99
31.3	16.5	0.9	641	-99
27.6	18.4	0.6	640.9	-99
26.6	19.1	1.6	640.7	270
25.9	19.3	1.1	640.6	-99
22.8	20.3	1.1	640.4	-99
22.4	19.6	1.8	640.1	45
22.9	17.4	2.5	640.5	135
23.9	16.9	0.5	640.3	-99
22.6	17.7	0.3	639.6	-99
21.3	19.7	1.5	639	270
20.2	20.2	1.1	639.2	-99
20.6	20.6	1.2	639	-99
23.2	18.8	1.5	639	-99
26	17.5	0.8	639.4	-99
27.9	15.7	1.4	639.3	90
29.2	15.1	2.7	639.1	45
29.5	14.8	3.8	639	45
30	14.5	4.8	638.6	90
29.6	15.4	5.1	637.5	90
31	15.5	6.1	637.7	90
35.2	13.9	6.4	638.8	90
36.6	14	7.1	637.7	90
37.3	13.7	6.7	637.7	90
39.9	12.8	6.2	639.2	90
40.9	12.4	5.2	639	90
41.7	12.1	4.8	639	90
43.9	11.3	4.3	639.7	90
46.4	10.9	3.9	640	45
47.8	10.7	4.3	640.1	90
47.6	10.4	2.5	640.2	90
49	9.8	0.8	640.3	-99
50	9.5	0.2	640.4	-99
51.2	9	0.4	640.5	-99
50.1	9.3	2.4	640.6	90
51.9	8.7	1.4	640.7	90
54.7	8.4	1.2	640.9	90
59.5	8	0.9	641.1	90
62.4	7.3	0.2	641.2	-99
64.8	6.2	0.1	641.3	-99
68.3	5.9	0.1	641.4	-99
67.1	5.5	0.1	641.4	-99
67.9	4.7	0.2	641.5	-99
67.6	4.7	1.9	641.7	225
68.9	3.9	1.1	641.8	270
71.7	3.7	0.1	641.7	-99
74.9	3.5	0.1	641.7	-99
74.5	4.1	1.1	641.6	45
74.9	4	0.1	641.7	-99
74.6	4	1.4	641.5	45
73.1	4.2	1.5	641.4	45
74.5	4.2	1.3	641.4	90
82	4	2	641.3	135
88	4.2	2.9	641.1	135
88.1	4.4	3.1	641.1	135
88.4	4.4	3.2	641.1	135
88.5	4.3	2.8	641	135
89	4.2	1.6	641	90
88.4	3	0	641.1	-99
89.5	1.9	0.1	641.1	-99
90.3	1	0.2	641.1	-99
90.7	0.9	0.1	641	-99
90.8	0.9	0.1	640.9	-99
90.4	0.7	0.2	640.8	-99
90.2	0.8	0.1	640.7	-99
90.3	0.9	0.1	640.6	-99
90.3	1.2	0	640.5	-99
90.5	0.9	0.1	640.5	-99
90.8	0.8	0.1	640.5	-99
90.9	0.6	0.1	640.5	-99
90	0.6	0.1	640.5	-99
89.6	0.5	0.2	640.5	-99
89.1	0.4	0.1	640.5	-99
88.1	0.2	0	640.6	-99
87.2	0.2	0.1	640.6	-99
88.6	0.3	0.1	640.6	-99
87.7	0.6	0.2	640.5	-99
87.7	0.4	0.1	640.7	-99
