0.1	0.12851	0.144566	0.157019	0.814915	0.812407	0.00164054	0.00178732
0.1	0.12851	0.144566	0.157019	0.81534	0.81284	0.00164191	0.00178808
0.1	0.12851	0.144566	0.157019	0.814871	0.812368	0.00163986	0.00178684
0	0	0	0	0.815296	0.812832	0.00164124	0.00178655
0.1	0.12851	0.144566	0.157019	0.815721	0.813271	0.00164261	0.00178711
0.4	0.514039	0.578262	0.628078	0.815423	0.812984	0.00164147	0.00178595
0.1	0.12851	0.144566	0.157019	0.816445	0.814043	0.00164513	0.00178729
0.1	0.12851	0.144566	0.157019	0.815467	0.813059	0.00164215	0.00178519
0	0	0	0	0.812541	0.810053	0.00163144	0.00178047
0.1	0.12851	0.144566	0.157019	0.80725	0.804566	0.00161125	0.00177395
0.2	0.257019	0.289131	0.314039	0.800141	0.797246	0.00158406	0.00176504
0.1	0.12851	0.144566	0.157019	0.797407	0.794479	0.00157352	0.00176066
0.2	0.257019	0.289131	0.314039	0.796269	0.793336	0.00156925	0.00175869
0.1	0.12851	0.144566	0.157019	0.793687	0.790721	0.00155908	0.00175517
0.2	0.257019	0.289131	0.314039	0.790439	0.787434	0.00154671	0.00175123
0.2	0.257019	0.289131	0.314039	0.786819	0.783854	0.00153325	0.00174495
0.6	0.771058	0.867393	0.942117	0.784179	0.781174	0.00152324	0.00174314
0.9	1.15659	1.30109	1.41317	0.782257	0.779277	0.00151614	0.00174041
1	1.2851	1.44566	1.57019	0.780465	0.77752	0.0015093	0.0017379
1.6	2.05616	2.31305	2.51231	0.77829	0.775436	0.0015013	0.00173356
1.8	2.31317	2.60218	2.82635	0.777356	0.774553	0.00149811	0.00173133
1.1	1.41361	1.59022	1.72721	0.774661	0.771823	0.00148824	0.00173115
1	1.2851	1.44566	1.57019	0.774124	0.771291	0.00148628	0.00173083
0.7	0.899568	1.01196	1.09914	0.773052	0.770289	0.00148237	0.00172848
0.9	1.15659	1.30109	1.41317	0.770943	0.768274	0.00147514	0.00172506
0.6	0.771058	0.867393	0.942117	0.7658	0.763163	0.00145671	0.00172498
