64.9	5.1	0.3	641.1	0.532978	0.80264	0.0108356	0.0071952	0.0229966	0.0152704	0.0327378	0.0217389	0.0419484	0.027855
64.8	5.3	1.6	641	0.529112	0.801939	1.64237	1.08362	3.48561	2.29977	4.9621	3.27395	6.35816	4.19505
65.7	5.3	0.8	641	0.525322	0.801939	0.205296	0.134482	0.435702	0.285413	0.620263	0.406313	0.79477	0.520626
68.8	5.2	0.3	641.2	0.514714	0.802477	0.0108334	0.00694863	0.0229919	0.0147471	0.0327311	0.0209939	0.0419398	0.0269005
69.8	5	0.9	641.2	0.514942	0.803054	0.292713	0.187696	0.621227	0.398349	0.884376	0.567088	1.13319	0.726635
69.6	4.9	0.4	641.2	0.517952	0.803343	0.025707	0.0165745	0.0545581	0.0351761	0.0776686	0.0500765	0.0995202	0.0641652
71.4	3.2	0.1	641.1	0.546765	0.808159	0.000404079	0.000273383	0.00085758	0.000580201	0.00122085	0.000825972	0.00156432	0.00105835
75.6	2.9	0.2	641.1	0.537794	0.809037	0.00323615	0.00215118	0.0068681	0.00456545	0.00977739	0.00649936	0.0125282	0.00832791
78.7	3.5	1	641	0.513179	0.807156	0.403578	0.256589	0.856516	0.544561	1.21933	0.775235	1.56238	0.993342
79	4.2	2	640.9	0.495769	0.804994	3.21997	1.98308	6.83377	4.20869	9.72852	5.99148	12.4656	7.67714
81.7	4.3	1.7	640.8	0.482648	0.804578	1.97645	1.18562	4.19462	2.51626	5.97145	3.58213	7.65148	4.58994
80	3.3	0.6	640.9	0.512761	0.807614	0.0872224	0.0553782	0.185113	0.117529	0.263525	0.167314	0.337667	0.214387
83.2	2	1	640.8	0.530408	0.811303	0.405652	0.265204	0.860917	0.562844	1.2256	0.801262	1.57041	1.02669
82.3	2.4	0.1	640.7	0.524512	0.809999	0.000405	0.000262256	0.000859533	0.000556587	0.00122363	0.000792355	0.00156789	0.00101528
80.7	2.3	0.2	640.7	0.532244	0.810293	0.00324117	0.00212897	0.00687876	0.00451834	0.00979257	0.00643228	0.0125477	0.00824196
82.3	1.7	0	640.6	0.539684	0.811935	0	0	0	0	0	0	0	0
80.9	2	0.1	640.4	0.537667	0.810797	0.000405399	0.000268834	0.00086038	0.000570547	0.00122483	0.000812228	0.00156943	0.00104074
80.2	2	0.1	640.4	0.540031	0.810797	0.000405399	0.000270015	0.00086038	0.000573055	0.00122483	0.000815799	0.00156943	0.00104532
79.8	1.8	0.1	640.4	0.545605	0.811387	0.000405693	0.000272803	0.000861006	0.000578971	0.00122572	0.00082422	0.00157057	0.00105611
80.2	1.6	0.1	640.4	0.548473	0.811978	0.000405989	0.000274236	0.000861632	0.000582014	0.00122662	0.000828552	0.00157172	0.00106166
80.8	1.4	0.1	640.5	0.550813	0.812696	0.000406348	0.000275406	0.000862395	0.000584497	0.0012277	0.000832087	0.00157311	0.00106619
81	1.5	0.1	640.5	0.548073	0.8124	0.0004062	0.000274036	0.000862081	0.000581589	0.00122725	0.000827948	0.00157253	0.00106089
79.8	1.6	0.1	640.5	0.549914	0.812104	0.000406052	0.000274957	0.000861767	0.000583543	0.00122681	0.000830729	0.00157196	0.00106445
79.7	1.2	0.1	640.5	0.558473	0.813288	0.000406644	0.000279236	0.000863023	0.000592625	0.0012286	0.000843658	0.00157425	0.00108102
80.2	1.1	0.1	640.6	0.559044	0.813712	0.000406856	0.000279522	0.000863473	0.000593231	0.00122924	0.000844521	0.00157507	0.00108212
81.1	0.7	0.1	640.6	0.564333	0.8149	0.00040745	0.000282167	0.000864734	0.000598844	0.00123103	0.000852511	0.00157737	0.00109236
81.4	0.6	0.1	640.7	0.565551	0.815325	0.000407663	0.000282776	0.000865185	0.000600136	0.00123167	0.000854351	0.0015782	0.00109472
80.4	0.8	0.1	640.8	0.564744	0.814857	0.000407429	0.000282372	0.000864688	0.000599279	0.00123097	0.000853131	0.00157729	0.00109315
79.7	0.7	0	640.9	0.569041	0.815282	0	0	0	0	0	0	0	0
79.8	0.6	0.1	641	0.570843	0.815707	0.000407854	0.000285421	0.00086559	0.000605752	0.00123225	0.000862345	0.00157894	0.00110496
78.9	0.7	0.4	641	0.57164	0.815409	0.0260931	0.0182925	0.0553775	0.0388222	0.0788352	0.0552671	0.101015	0.0708162
79.3	0.4	0.1	641.1	0.576422	0.816431	0.000408215	0.000288211	0.000866358	0.000611672	0.00123334	0.000870774	0.00158034	0.00111576
78.4	0.6	0.1	640.8	0.574885	0.815453	0.000407726	0.000287442	0.00086532	0.000610041	0.00123187	0.000868451	0.00157844	0.00111278
76.2	1.5	0	640.6	0.563865	0.812527	0	0	0	0	0	0	0	0
72.8	3.3	0.1	640.6	0.538922	0.807236	0.000403618	0.000269461	0.000856601	0.000571878	0.00121945	0.000814123	0.00156254	0.00104317
66.5	5.8	0.2	640.7	0.510769	0.800127	0.00320051	0.00204307	0.00679245	0.00433603	0.00966971	0.00617275	0.0123902	0.00790942
63	6.8	0.1	640.8	0.504725	0.797393	0.000398696	0.000252363	0.000846156	0.000535591	0.00120458	0.000762465	0.00154349	0.000976979
61.5	7.2	0.2	640.8	0.503023	0.796255	0.00318502	0.00201209	0.00675959	0.00427028	0.00962292	0.00607915	0.0123303	0.00778948
58.3	8.2	0.1	641	0.497124	0.793673	0.000396836	0.000248562	0.000842208	0.000527524	0.00119896	0.000750981	0.00153628	0.000962265
54.7	9.4	0.2	641.1	0.489942	0.790425	0.0031617	0.00195977	0.0067101	0.00415923	0.00955246	0.00592106	0.01224	0.00758691
49.7	10.7	0.2	641.1	0.490318	0.786805	0.00314722	0.00196127	0.00667937	0.00416242	0.00950871	0.0059256	0.0121839	0.00759273
47.3	11.7	0.6	641.2	0.483693	0.784165	0.0846899	0.0522389	0.179738	0.110867	0.255874	0.15783	0.327862	0.202234
44.9	12.4	0.9	641.2	0.484281	0.782243	0.285128	0.17652	0.605128	0.37463	0.861457	0.533322	1.10382	0.683369
42.5	13.1	1	641.3	0.485896	0.780452	0.390226	0.242948	0.828179	0.51561	1.17899	0.73402	1.51069	0.940532
39.2	13.9	1.6	641.3	0.492852	0.778277	1.59391	1.00936	3.38277	2.14217	4.81569	3.04959	6.17056	3.90757
37.8	14.2	1.8	641.2	0.496996	0.777343	2.26673	1.44924	4.8107	3.07573	6.84849	4.37859	8.77527	5.61049
36	15.2	1.1	641.2	0.490834	0.774647	0.515528	0.32665	1.09411	0.693252	1.55757	0.98691	1.99578	1.26457
35.5	15.4	1	641.2	0.490816	0.77411	0.387055	0.245408	0.821449	0.520831	1.16941	0.741453	1.49842	0.950056
33.8	15.8	0.7	641.2	0.49669	0.773039	0.132576	0.0851823	0.281367	0.180783	0.400553	0.257362	0.513246	0.329769
31.3	16.5	0.9	641	0.503977	0.77093	0.281004	0.1837	0.596376	0.389867	0.848998	0.555012	1.08786	0.711161
27.6	18.4	0.6	640.9	0.502098	0.765786	0.0827049	0.0542266	0.175525	0.115085	0.249877	0.163835	0.320178	0.209929
26.6	19.1	1.6	640.7	0.498842	0.763714	1.56409	1.02163	3.31947	2.16821	4.72558	3.08665	6.05509	3.95506
25.9	19.3	1.1	640.6	0.502115	0.763072	0.507825	0.334158	1.07776	0.709185	1.53429	1.00959	1.96596	1.29364
22.8	20.3	1.1	640.4	0.516644	0.760234	0.505936	0.343827	1.07375	0.729705	1.52859	1.0388	1.95865	1.33107
22.4	19.6	1.8	640.1	0.53199	0.761695	2.2211	1.55128	4.71386	3.2923	6.71063	4.6869	8.59862	6.00553
22.9	17.4	2.5	640.5	0.561804	0.767942	5.99955	4.38909	12.7329	9.315	18.1265	13.2608	23.2262	16.9916
23.9	16.9	0.5	640.3	0.560232	0.769026	0.0480641	0.0350145	0.102007	0.0743114	0.145216	0.105789	0.186072	0.135553
22.6	17.7	0.3	639.6	0.558959	0.766072	0.010342	0.00754595	0.0219488	0.0160148	0.0312463	0.0227986	0.0400372	0.0292128
21.3	19.7	1.5	639	0.540417	0.760127	1.28271	0.911953	2.72231	1.93544	3.87547	2.75529	4.96581	3.53047
20.2	20.2	1.1	639.2	0.544515	0.759069	0.50516	0.362375	1.0721	0.769071	1.52624	1.09485	1.95564	1.40287
20.6	20.6	1.2	639	0.533829	0.757798	0.654737	0.461228	1.38955	0.978868	1.97816	1.39351	2.5347	1.78557
23.2	18.8	1.5	639	0.535512	0.76247	1.28667	0.903676	2.7307	1.91788	3.88742	2.73028	4.98112	3.49843
26	17.5	0.8	639.4	0.530911	0.76636	0.196188	0.135913	0.416371	0.288449	0.592744	0.410635	0.759509	0.526165
27.9	15.7	1.4	639.3	0.544285	0.771015	1.05783	0.746759	2.24504	1.58485	3.19603	2.25619	4.09522	2.89095
29.2	15.1	2.7	639.1	0.543575	0.772378	7.60136	5.34959	16.1324	11.3535	22.966	16.1627	29.4274	20.71
29.5	14.8	3.8	639	0.546096	0.773062	21.2097	14.9827	45.0135	31.7979	64.081	45.2673	82.1098	58.003
30	14.5	4.8	638.6	0.546764	0.773383	42.765	30.2338	90.7604	64.1655	129.206	91.3457	165.558	117.045
29.6	15.4	5.1	637.5	0.533435	0.769643	51.047	35.3804	108.337	75.088	154.228	106.895	197.62	136.969
31	15.5	6.1	637.7	0.520731	0.769618	87.3443	59.098	185.371	125.424	263.894	178.553	338.139	228.788
35.2	13.9	6.4	638.8	0.518945	0.775243	101.613	68.0192	215.653	144.358	307.003	205.507	393.376	263.325
