eGasI	evarth	eEst	ePv	ePd	erho	eIi	eIh
2.82544e-06	-1.40072	1.22763e-15	7.71571e-14	0.12	2.82552e-06	2.68319e-05	2.68326e-05
2.88614e-06	-1.3308	1.96776e-15	1.27434e-13	0.12	2.88623e-06	7.63433e-07	7.63455e-07
2.905e-06	-1.30817	2.30457e-15	1.51253e-13	0.12	2.90508e-06	7.70978e-07	7.71e-07
2.88913e-06	-1.30817	2.30457e-15	1.55631e-13	0.12	2.88921e-06	7.622e-07	7.62222e-07
2.87751e-06	-1.32171	2.09605e-15	1.40539e-13	0.12	2.87759e-06	7.57499e-07	7.5752e-07
2.88942e-06	-1.30817	2.30457e-15	1.55631e-13	0.12	2.8895e-06	7.62361e-07	7.62382e-07
2.87658e-06	-1.31267	2.23281e-15	1.52808e-13	0.12	2.87666e-06	7.55831e-07	7.55852e-07
2.8847e-06	-1.30817	2.30457e-15	1.57014e-13	0.12	2.88478e-06	7.59748e-07	7.59769e-07
2.89389e-06	-1.29032	2.61577e-15	1.82078e-13	0.12	2.89397e-06	7.62519e-07	7.6254e-07
2.88627e-06	-1.29032	2.61577e-15	1.84432e-13	0.12	2.88635e-06	7.58306e-07	7.58328e-07
2.91174e-06	-1.2683	3.06554e-15	2.16666e-13	0.12	2.91182e-06	7.69465e-07	7.69487e-07
2.90442e-06	-1.25092	3.48139e-15	2.58856e-13	0.12	2.9045e-06	7.63107e-07	7.63129e-07
2.87081e-06	-1.2683	3.06554e-15	2.323e-13	0.12	2.87089e-06	7.46899e-07	7.4692e-07
2.89162e-06	-1.26393	3.16453e-15	2.3377e-13	0.12	2.8917e-06	0	0
2.92213e-06	-1.23375	3.95457e-15	2.95921e-13	0.12	2.92221e-06	7.7052e-07	7.70542e-07
3.00482e-06	-1.15899	7.03817e-15	5.39986e-13	0.12	3.0049e-06	8.05163e-07	8.05185e-07
2.98916e-06	-1.15094	7.50606e-15	6.05068e-13	0.12	2.98925e-06	7.95418e-07	7.9544e-07
2.9933e-06	-1.14692	7.75172e-15	6.26375e-13	0.12	2.99339e-06	7.97079e-07	7.97101e-07
2.96113e-06	-1.1671	6.59992e-15	5.37461e-13	0.12	2.96121e-06	5.07423e-05	5.07437e-05
2.97383e-06	-1.17117	6.39125e-15	5.0325e-13	0.12	2.97392e-06	3.91483e-05	3.91494e-05
2.99488e-06	-1.14293	8.00548e-15	6.50834e-13	0.12	2.99496e-06	2.89737e-05	2.89745e-05
2.96111e-06	-1.15899	7.03817e-15	5.84327e-13	0.12	2.96119e-06	0	0
2.979e-06	-1.15094	7.50606e-15	6.14826e-13	0.12	2.97909e-06	0	0
2.97959e-06	-1.14692	7.75172e-15	6.40328e-13	0.12	2.97967e-06	1.2705e-05	1.27054e-05
2.97561e-06	-1.14692	7.75172e-15	6.44979e-13	0.12	2.97569e-06	7.11361e-06	7.11381e-06
2.97494e-06	-1.14293	8.00548e-15	6.73249e-13	0.12	2.97503e-06	7.86467e-07	7.86489e-07
2.97399e-06	-1.14293	8.00548e-15	6.7405e-13	0.12	2.97407e-06	7.85944e-07	7.85966e-07
2.9803e-06	-1.13497	8.53873e-15	7.24823e-13	0.12	2.98038e-06	7.88194e-07	7.88216e-07
2.98737e-06	-1.11919	9.71587e-15	8.47832e-13	0.12	2.98745e-06	3.16461e-06	3.1647e-06
2.98579e-06	-1.11138	1.0365e-14	9.26117e-13	0.12	2.98587e-06	7.87603e-07	7.87625e-07
2.98757e-06	-1.10361	1.1058e-14	1.0056e-12	0.12	2.98766e-06	7.87379e-07	7.87401e-07
2.98624e-06	-1.09975	1.14221e-14	1.05235e-12	0.12	2.98632e-06	7.86056e-07	7.86078e-07
3.00261e-06	-1.09205	1.21871e-14	1.11293e-12	0.12	3.0027e-06	7.93751e-07	7.93774e-07
3.01493e-06	-1.0844	1.3004e-14	1.18608e-12	0.12	3.01501e-06	1.286e-05	1.28604e-05
3.01346e-06	-1.08822	1.25889e-14	1.13948e-12	0.12	3.01354e-06	3.20217e-06	3.20225e-06
3.02663e-06	-1.0844	1.3004e-14	1.16137e-12	0.12	3.02671e-06	8.05574e-07	8.05596e-07
3.0411e-06	-1.0768	1.38767e-14	1.2322e-12	0.12	3.04119e-06	3.25492e-06	3.25502e-06
3.05227e-06	-1.07301	1.43352e-14	1.25992e-12	0.12	3.05236e-06	8.17654e-07	8.17677e-07
3.06044e-06	-1.06924	1.48089e-14	1.29555e-12	0.12	3.06053e-06	8.21468e-07	8.21491e-07
3.06687e-06	-1.06924	1.48089e-14	1.27926e-12	0.12	3.06696e-06	2.99742e-05	2.9975e-05
3.0718e-06	-1.06924	1.48089e-14	1.26445e-12	0.12	3.07188e-06	8.27617e-07	8.2764e-07
3.04739e-06	-1.09975	1.14221e-14	9.38125e-13	0.12	3.04748e-06	8.19277e-07	8.193e-07
2.98767e-06	-1.16304	6.81544e-15	5.31799e-13	0.12	2.98775e-06	7.96394e-07	7.96416e-07
2.91972e-06	-1.24661	3.59399e-15	2.61097e-13	0.12	2.9198e-06	7.70944e-07	7.70966e-07
2.88538e-06	-1.29476	2.5342e-15	1.76415e-13	0.12	2.88546e-06	3.03934e-06	3.03943e-06
2.86247e-06	-1.31718	2.16334e-15	1.49797e-13	0.12	2.86255e-06	0.000150372	0.000150376
2.85528e-06	-1.33536	1.90663e-15	1.29016e-13	0.12	2.85536e-06	0.000376011	0.000376021
2.81543e-06	-1.39596	1.26673e-15	8.16339e-14	0.12	2.81551e-06	0.00019283	0.000192835
2.76992e-06	-1.45895	8.43653e-16	5.2409e-14	0.12	2.77e-06	0.000266746	0.000266754
2.71186e-06	-1.53987	5.13261e-16	3.05986e-14	0.12	2.71193e-06	0.000380878	0.000380888
2.6693e-06	-1.61925	3.23159e-16	1.826e-14	0.12	2.66938e-06	0.000881513	0.000881537
2.65604e-06	-1.67414	2.37804e-16	1.269e-14	0.12	2.65611e-06	0.00299409	0.00299417
2.63557e-06	-1.71921	1.86245e-16	9.64941e-15	0.12	2.63564e-06	0.00316437	0.00316446
2.67316e-06	-1.7537	1.55144e-16	7.26782e-15	0.12	2.67323e-06	0.00418577	0.00418589
2.71358e-06	-1.7888	1.29298e-16	5.42804e-15	0.12	2.71366e-06	0.00350114	0.00350124
2.76179e-06	-1.7888	1.29298e-16	4.98842e-15	0.12	2.76187e-06	0.00423338	0.00423349
2.75711e-06	-1.80063	1.2169e-16	4.65983e-15	0.12	2.75719e-06	0.00435161	0.00435173
2.77943e-06	-1.8245	1.0781e-16	3.83975e-15	0.12	2.77951e-06	0.00301874	0.00301883
2.76072e-06	-1.86083	8.99354e-17	3.17033e-15	0.12	2.7608e-06	0.00320336	0.00320345
2.76688e-06	-1.91651	6.85849e-17	2.23613e-15	0.12	2.76696e-06	0.003932	0.00393211
2.77055e-06	-1.94171	6.08226e-17	1.91149e-15	0.12	2.77063e-06	0.0054299	0.00543005
2.72521e-06	-1.98007	5.08144e-17	1.6648e-15	0.12	2.72528e-06	0.00696902	0.00696922
2.71149e-06	-1.96081	5.55902e-17	1.90368e-15	0.12	2.71156e-06	0.00507367	0.00507381
2.72449e-06	-1.97363	5.23584e-17	1.72555e-15	0.12	2.72457e-06	0.00526989	0.00527003
2.72757e-06	-1.993	4.78636e-17	1.53518e-15	0.12	2.72764e-06	0.00895581	0.00895607
2.74294e-06	-1.98007	5.08144e-17	1.60382e-15	0.12	2.74302e-06	0.00828944	0.00828967
2.74262e-06	-1.97363	5.23584e-17	1.66272e-15	0.12	2.74269e-06	0.0104433	0.0104436
2.74475e-06	-1.96721	5.39501e-17	1.71834e-15	0.12	2.74483e-06	0.00722777	0.00722797
2.73632e-06	-1.97363	5.23584e-17	1.67843e-15	0.12	2.7364e-06	0.00605782	0.00605799
2.73849e-06	-1.96081	5.55902e-17	1.79806e-15	0.12	2.73856e-06	0.0130763	0.0130766
2.73337e-06	-1.96721	5.39501e-17	1.74532e-15	0.12	2.73345e-06	0.010578	0.0105783
2.72468e-06	-1.98652	4.93166e-17	1.58643e-15	0.12	2.72476e-06	0.00855482	0.00855506
2.72851e-06	-1.97363	5.23584e-17	1.69414e-15	0.12	2.72858e-06	0.0137205	0.0137209
2.7244e-06	-1.98007	5.08144e-17	1.64447e-15	0.12	2.72447e-06	0.013689	0.0136894
2.73211e-06	-1.96721	5.39501e-17	1.74532e-15	0.12	2.73219e-06	0.0142405	0.0142409
2.74033e-06	-1.92908	6.45853e-17	2.14524e-15	0.12	2.7404e-06	0.0152904	0.0152908
2.74076e-06	-1.92278	6.65546e-17	2.22357e-15	0.12	2.74083e-06	0.0114492	0.0114495
2.73728e-06	-1.92278	6.65546e-17	2.23688e-15	0.12	2.73736e-06	0.00934395	0.00934421
2.73456e-06	-1.91651	6.85849e-17	2.33215e-15	0.12	2.73464e-06	0.00951666	0.00951693
2.73085e-06	-1.92278	6.65546e-17	2.2635e-15	0.12	2.73093e-06	0.00763814	0.00763836
2.76233e-06	-1.8854	7.9719e-17	2.66856e-15	0.12	2.7624e-06	0.00908282	0.00908308
2.78661e-06	-1.84865	9.55325e-17	3.19456e-15	0.12	2.78669e-06	0.00718382	0.00718402
2.81229e-06	-1.7888	1.29298e-16	4.44537e-15	0.12	2.81237e-06	0.00797691	0.00797713
2.83576e-06	-1.72491	1.80654e-16	6.48841e-15	0.12	2.83584e-06	0.00469629	0.00469642
2.84504e-06	-1.67971	2.30638e-16	8.68795e-15	0.12	2.84512e-06	0.00289639	0.00289648
2.8482e-06	-1.64649	2.77168e-16	1.09021e-14	0.12	2.84828e-06	0.00186395	0.001864
2.8438e-06	-1.6301	3.03898e-16	1.23736e-14	0.12	2.84388e-06	0.00119376	0.00119379
2.84768e-06	-1.61925	3.23159e-16	1.32833e-14	0.12	2.84776e-06	0.0017758	0.00177585
2.69615e-06	-1.8245	1.0781e-16	4.44348e-15	0.12	2.69622e-06	0.00304082	0.0030409
2.71893e-06	-1.7537	1.55144e-16	6.75584e-15	0.12	2.719e-06	0.00229607	0.00229613
2.67783e-06	-1.67971	2.30638e-16	1.18477e-14	0.12	2.6779e-06	0.00124141	0.00124145
2.66143e-06	-1.64101	2.85803e-16	1.58701e-14	0.12	2.6615e-06	0.00104131	0.00104134
2.64868e-06	-1.61925	3.23159e-16	1.88416e-14	0.12	2.64876e-06	0.000866791	0.000866815
2.66112e-06	-1.57648	4.13432e-16	2.52018e-14	0.12	2.6612e-06	0.000677751	0.000677769
2.67447e-06	-1.5607	4.53552e-16	2.77754e-14	0.12	2.67454e-06	0.00104075	0.00104078
2.67558e-06	-1.53987	5.13261e-16	3.2395e-14	0.12	2.67566e-06	0.000553402	0.000553418
2.67639e-06	-1.51928	5.80961e-16	3.78162e-14	0.12	2.67646e-06	6.80104e-05	6.80124e-05
2.68972e-06	-1.49388	6.78493e-16	4.50946e-14	0.12	2.68979e-06	0.000116441	0.000116445
2.68116e-06	-1.49893	6.57738e-16	4.39164e-14	0.12	2.68123e-06	8.25223e-05	8.25246e-05
2.66681e-06	-1.50907	6.18144e-16	4.14655e-14	0.12	2.66688e-06	2.40581e-05	2.40587e-05
2.66953e-06	-1.49388	6.78493e-16	4.64516e-14	0.12	2.66961e-06	1.06487e-05	1.0649e-05
2.69861e-06	-1.45402	8.70366e-16	6.10262e-14	0.12	2.69869e-06	6.73536e-07	6.73555e-07
2.67107e-06	-1.4639	8.17764e-16	5.86561e-14	0.12	2.67115e-06	6.59198e-07	6.59216e-07
2.66606e-06	-1.4491	8.97946e-16	6.64567e-14	0.12	2.66613e-06	6.5479e-07	6.54809e-07
2.63526e-06	-1.45402	8.70366e-16	6.65966e-14	0.12	2.63533e-06	0.000168412	0.000168417
2.58242e-06	-1.45895	8.43653e-16	6.84384e-14	0.12	2.58249e-06	0.000253434	0.000253441
2.52493e-06	-1.45402	8.70366e-16	7.61706e-14	0.12	2.525e-06	0.000152401	0.000152405
2.513e-06	-1.43931	9.55796e-16	8.67842e-14	0.12	2.51307e-06	0.000191016	0.000191022
2.50399e-06	-1.4199	1.08309e-15	1.02433e-13	0.12	2.50406e-06	0.000210715	0.000210721
2.53295e-06	-1.38177	1.39177e-15	1.35735e-13	0.12	2.53302e-06	0.000192714	0.00019272
2.61315e-06	-1.30817	2.30457e-15	2.33065e-13	0.12	2.61323e-06	6.21289e-05	6.21306e-05
2.63322e-06	-1.29032	2.61577e-15	2.66829e-13	0.12	2.63329e-06	5.59041e-06	5.59057e-06
2.63284e-06	-1.29476	2.5342e-15	2.56496e-13	0.12	2.63292e-06	2.48063e-06	2.4807e-06
2.63447e-06	-1.29922	2.45518e-15	2.46058e-13	0.12	2.63454e-06	2.48633e-06	2.4864e-06
2.60737e-06	-1.30369	2.37867e-15	2.44112e-13	0.12	2.60744e-06	2.20437e-05	2.20443e-05
2.61152e-06	-1.29476	2.5342e-15	2.63085e-13	0.12	2.61159e-06	6.07058e-07	6.07075e-07
2.59952e-06	-1.29922	2.45518e-15	2.56369e-13	0.12	2.5996e-06	6.12646e-05	6.12663e-05
2.58799e-06	-1.30369	2.37867e-15	2.49583e-13	0.12	2.58806e-06	5.9509e-07	5.95107e-07
2.61201e-06	-1.28589	2.70003e-15	2.84588e-13	0.12	2.61208e-06	6.06283e-07	6.063e-07
2.65872e-06	-1.25524	3.37234e-15	3.56322e-13	0.12	2.6588e-06	6.28356e-07	6.28374e-07
2.6977e-06	-1.22524	4.21511e-15	4.50251e-13	0.12	2.69777e-06	2.35005e-05	2.35012e-05
2.69592e-06	-1.22524	4.21511e-15	4.51094e-13	0.12	2.69599e-06	5.82988e-06	5.83005e-06
2.7067e-06	-1.21678	4.49314e-15	4.82592e-13	0.12	2.70678e-06	6.49913e-07	6.49931e-07
2.74927e-06	-1.19171	5.44409e-15	5.83445e-13	0.12	2.74935e-06	6.69982e-07	6.70001e-07
2.74756e-06	-1.19171	5.44409e-15	5.84534e-13	0.12	2.74763e-06	6.69044e-07	6.69063e-07
2.74584e-06	-1.19171	5.44409e-15	5.85623e-13	0.12	2.74592e-06	6.68105e-07	6.68124e-07
2.75313e-06	-1.18346	5.80452e-15	6.2897e-13	0.12	2.75321e-06	6.70998e-07	6.71017e-07
2.72416e-06	-1.20419	4.94545e-15	5.32567e-13	0.12	2.72424e-06	6.57863e-07	6.57881e-07
2.75382e-06	-1.18758	5.6214e-15	6.02977e-13	0.12	2.7539e-06	6.71924e-07	6.71943e-07
2.75241e-06	-1.18758	5.6214e-15	6.04101e-13	0.12	2.75249e-06	2.69012e-06	2.69019e-06
2.77561e-06	-1.17525	6.18927e-15	6.6254e-13	0.12	2.77569e-06	6.8219e-07	6.8221e-07
2.79219e-06	-1.17117	6.39125e-15	6.75175e-13	0.12	2.79227e-06	0.00011956	0.000119563
2.86879e-06	-1.12312	9.40694e-15	9.94959e-13	0.12	2.86887e-06	6.55715e-06	6.55734e-06
2.86879e-06	-1.12312	9.40694e-15	9.94959e-13	0.12	2.86887e-06	2.90855e-06	2.90863e-06
2.87295e-06	-1.11919	9.71587e-15	1.03146e-12	0.12	2.87303e-06	7.27392e-07	7.27412e-07
2.87482e-06	-1.11919	9.71587e-15	1.02952e-12	0.12	2.8749e-06	7.2841e-07	7.28431e-07
2.88256e-06	-1.11138	1.0365e-14	1.10647e-12	0.12	2.88264e-06	7.3147e-07	7.3149e-07
2.88521e-06	-1.10749	1.07059e-14	1.14922e-12	0.12	2.88529e-06	7.32334e-07	7.32354e-07
2.87332e-06	-1.11528	1.00351e-14	1.07633e-12	0.12	2.8734e-06	7.27016e-07	7.27036e-07
2.88582e-06	-1.10749	1.07059e-14	1.14922e-12	0.12	2.8859e-06	7.32662e-07	7.32683e-07
